NUMERACION,CONSOLA,TITULO DEL JUEGO,JAPON,AMERICA DEL NORTE,PAL
160,GAME BOY,CHIKYU KAIHO GUN ZAS,RELEASED,UNRELEASED,UNRELEASED
161,GAME BOY,CHOPLIFTER II,RELEASED,RELEASED,RELEASED
162,GAME BOY,CHOPLIFTER III,UNRELEASED,UNRELEASED,RELEASED
163,GAME BOY,CHOU MAJIN EIYUUDEN: WATARU MAZEKKO MONSTER,RELEASED,UNRELEASED,UNRELEASED
164,GAME BOY,CHOU MAJIN EIYUUDEN: WATARU MAZEKKO MONSTER 2,RELEASED,UNRELEASED,UNRELEASED
165,GAME BOY,CHOUSOKU SPINNER,RELEASED,UNRELEASED,UNRELEASED
166,GAME BOY,CHUCK ROCK,UNRELEASED,RELEASED,RELEASED
167,GAME BOY,CLIFFHANGER,UNRELEASED,RELEASED,RELEASED
168,GAME BOY,COLLECTION POCKET,RELEASED,UNRELEASED,UNRELEASED
169,GAME BOY,COLLEGE SLAM,UNRELEASED,RELEASED,UNRELEASED
170,GAME BOY,CONTRA: THE ALIEN WARS,RELEASED,RELEASED,RELEASED
171,GAME BOY,COOL BALL,UNRELEASED,RELEASED,RELEASED
172,GAME BOY,COOL HAND,UNRELEASED,UNRELEASED,RELEASED
173,GAME BOY,COOL SPOT,UNRELEASED,RELEASED,RELEASED
174,GAME BOY,COOL WORLD,UNRELEASED,RELEASED,RELEASED
175,GAME BOY,COSMO TANK,RELEASED,RELEASED,UNRELEASED
176,GAME BOY,CRAYON SHIN-CHAN 2: ORA TO WANPAKU GOKKO DAZO,RELEASED,UNRELEASED,UNRELEASED
177,GAME BOY,CRAYON SHIN-CHAN 3: ORA NO GOKIGEN ATHLETIC,RELEASED,UNRELEASED,UNRELEASED
178,GAME BOY,CRAYON SHIN-CHAN 4: ORA NO ITAZURA DAI HENSHIN,RELEASED,UNRELEASED,UNRELEASED
179,GAME BOY,CRAYON SHIN-CHAN: ORA NO GOKIGEN COLLECTION,RELEASED,UNRELEASED,UNRELEASED
180,GAME BOY,CRAYON SHIN-CHAN: ORA TO SHIRO HA OTOMODACHI DAYO,RELEASED,UNRELEASED,UNRELEASED
181,GAME BOY,CRYSTAL QUEST,UNRELEASED,RELEASED,UNRELEASED
182,GAME BOY,CULT JUMP,RELEASED,UNRELEASED,UNRELEASED
183,GAME BOY,CULTMASTER: ULTRAMAN NI MISERARETE,RELEASED,UNRELEASED,UNRELEASED
184,GAME BOY,CUTTHROAT ISLAND,UNRELEASED,RELEASED,RELEASED
185,GAME BOY,CYRAID,RELEASED,RELEASED,UNRELEASED
186,GAME BOY,DAEDALIAN OPUS,RELEASED,RELEASED,UNRELEASED
187,GAME BOY,DAFFY DUCK: THE MARVIN MISSIONS,RELEASED,RELEASED,RELEASED
188,GAME BOY,DAINIJI SUPER ROBOT TAISEN G,RELEASED,UNRELEASED,UNRELEASED
189,GAME BOY,DAIKAIJU MONOGATARI - MIRACLE OF THE ZONE,RELEASED,UNRELEASED,UNRELEASED
190,GAME BOY,DAIKU NO GEN-SAN: ROBOT TEIKOKU NO YABOU,RELEASED,UNRELEASED,UNRELEASED
191,GAME BOY,DAISENRYAKU,RELEASED,UNRELEASED,UNRELEASED
192,GAME BOY,DARKMAN,UNRELEASED,RELEASED,RELEASED
193,GAME BOY,DARKWING DUCK,UNRELEASED,RELEASED,RELEASED
194,GAME BOY,DAVID CRANE'S THE RESCUE OF PRINCESS BLOBETTE,RELEASED,RELEASED,RELEASED
195,GAME BOY,DAYS OF THUNDER,UNRELEASED,RELEASED,RELEASED
196,GAME BOY,DEAD HEAT SCRAMBLE,RELEASED,RELEASED,UNRELEASED
197,GAME BOY,DENNIS THE MENACE,UNRELEASED,RELEASED,RELEASED
198,GAME BOY,DESERT STRIKE: RETURN TO THE GULF,UNRELEASED,RELEASED,RELEASED
199,GAME BOY,DEXTERITY,RELEASED,RELEASED,RELEASED
200,GAME BOY,DICK TRACY,UNRELEASED,RELEASED,UNRELEASED
201,GAME BOY,DIG DUG,UNRELEASED,RELEASED,RELEASED
202,GAME BOY,DINO BREEDER,RELEASED,UNRELEASED,UNRELEASED
203,GAME BOY,DINO BREEDER 2,RELEASED,UNRELEASED,UNRELEASED
204,GAME BOY,DIRTY RACING,RELEASED,UNRELEASED,UNRELEASED
205,GAME BOY,DODGE BOY,RELEASED,UNRELEASED,UNRELEASED
206,GAME BOY,DONKEY KONG,RELEASED,RELEASED,RELEASED
207,GAME BOY,DONKEY KONG LAND,RELEASED,RELEASED,RELEASED
208,GAME BOY,DONKEY KONG LAND 2,RELEASED,RELEASED,RELEASED
209,GAME BOY,DONKEY KONG LAND III,UNRELEASED,RELEASED,RELEASED
210,GAME BOY,DORAEMON 2: ANIMAL WAKUSEI DENSETSU,RELEASED,UNRELEASED,UNRELEASED
211,GAME BOY,DORAEMON KART,RELEASED,UNRELEASED,UNRELEASED
212,GAME BOY,DORAEMON NO GAMEBOY DE ASOBOUYO DX10,RELEASED,UNRELEASED,UNRELEASED
213,GAME BOY,DORAEMON NO STUDY BOY 1: SHOUICHI KOGUKO KANJI,RELEASED,UNRELEASED,UNRELEASED
214,GAME BOY,DORAEMON NO STUDY BOY 2: SHOUICHI SANSUU KEISAN,RELEASED,UNRELEASED,UNRELEASED
215,GAME BOY,DORAEMON NO STUDY BOY 3: KU KU MASTER,RELEASED,UNRELEASED,UNRELEASED
216,GAME BOY,DORAEMON NO STUDY BOY 4: SHOUNI KOKUGO KANJI,RELEASED,UNRELEASED,UNRELEASED
217,GAME BOY,DORAEMON NO STUDY BOY 5: SHOUNI SANSUU KEISAN,RELEASED,UNRELEASED,UNRELEASED
218,GAME BOY,DORAEMON NO STUDY BOY 6: GAKUSHUU KANJI MASTER 1006,RELEASED,UNRELEASED,UNRELEASED
219,GAME BOY,DORAEMON: TAIKETSU HIMITSU DOGU!!,RELEASED,UNRELEASED,UNRELEASED
220,GAME BOY,DOUBLE DRAGON,RELEASED,RELEASED,RELEASED
221,GAME BOY,DOUBLE DRAGON 3: THE ARCADE GAME,UNRELEASED,RELEASED,RELEASED
222,GAME BOY,DOUBLE DRAGON II,RELEASED,RELEASED,RELEASED
223,GAME BOY,DOUBLE DRIBBLE: 5 ON 5,RELEASED,RELEASED,RELEASED
