NUMERACION,CONSOLA,TITULO DEL JUEGO,JAPON,AMERICA DEL NORTE,PAL
582,GAME BOY,NAMCO CLASSIC,RELEASED,RELEASED,RELEASED
583,GAME BOY,NAMCO GALLERY VOL. 1,RELEASED,UNRELEASED,UNRELEASED
584,GAME BOY,NAMCO GALLERY VOL. 2,RELEASED,UNRELEASED,UNRELEASED
585,GAME BOY,NAMCO GALLERY VOL. 3,RELEASED,UNRELEASED,UNRELEASED
586,GAME BOY,NANGOKU SHOUNEN PAPUWA-KUN: GANMADAN NO YABOU,RELEASED,UNRELEASED,UNRELEASED
587,GAME BOY,NANONOTE,RELEASED,UNRELEASED,UNRELEASED
588,GAME BOY,NAVY BLUE 98,RELEASED,UNRELEASED,UNRELEASED
589,GAME BOY,NAVY SEALS,RELEASED,UNRELEASED,UNRELEASED
590,GAME BOY,NBA ALL-STAR CHALLENGE,UNRELEASED,RELEASED,RELEASED
591,GAME BOY,NBA ALL-STAR CHALLENGE 2,UNRELEASED,RELEASED,RELEASED
592,GAME BOY,NBA JAM,RELEASED,RELEASED,RELEASED
593,GAME BOY,NBA JAM: TOURNAMENT EDITION,UNRELEASED,RELEASED,RELEASED
594,GAME BOY,NBA LIVE 96,RELEASED,RELEASED,RELEASED
595,GAME BOY,NECTARIS GB,UNRELEASED,RELEASED,RELEASED
596,GAME BOY,NEKKETSU KOKO DODGEBALL BU - KYOTEKI! DODGE SOLDIER NO MAKI,RELEASED,UNRELEASED,UNRELEASED
597,GAME BOY,NEKKETSU! BEACH VOLLEY DAYO KUNIO-KUN,RELEASED,UNRELEASED,UNRELEASED
598,GAME BOY,NEKOJARA MONOGATARI,RELEASED,UNRELEASED,UNRELEASED
599,GAME BOY,NEMESIS,RELEASED,UNRELEASED,UNRELEASED
600,GAME BOY,NETTOU GAROU DENSETSU 2: ARATANARU TATAKAI,RELEASED,RELEASED,RELEASED
601,GAME BOY,NETTOU REAL BOUT GAROU DENSETSU SPECIAL,RELEASED,UNRELEASED,UNRELEASED
602,GAME BOY,NETTOU SAMURAI SPIRITS: ZANKURO MUSOUKEN,RELEASED,UNRELEASED,UNRELEASED
603,GAME BOY,THE NEW CHESSMASTER,RELEASED,UNRELEASED,UNRELEASED
604,GAME BOY,NFL FOOTBALL,RELEASED,RELEASED,UNRELEASED
605,GAME BOY,NFL QUARTERBACK CLUB,UNRELEASED,RELEASED,RELEASED
606,GAME BOY,NFL QUARTERBACK CLUB 96,UNRELEASED,RELEASED,RELEASED
607,GAME BOY,NFL QUARTERBACK CLUB II,UNRELEASED,RELEASED,RELEASED
608,GAME BOY,NHL 96,RELEASED,RELEASED,RELEASED
609,GAME BOY,NHL HOCKEY 95,UNRELEASED,RELEASED,RELEASED
610,GAME BOY,NICHIBUTSU MAHJONG: YOSHIMOTO GEKIJOU,UNRELEASED,RELEASED,RELEASED
611,GAME BOY,NIGEL MANSELL'S WORLD CHAMPIONSHIP RACING,RELEASED,UNRELEASED,UNRELEASED
612,GAME BOY,NIHONSHI TARGET 201,UNRELEASED,RELEASED,RELEASED
613,GAME BOY,NIKKAN BERUTOMO CLUB,RELEASED,UNRELEASED,UNRELEASED
614,GAME BOY,NINJA BOY,RELEASED,RELEASED,UNRELEASED
615,GAME BOY,NINJA BOY 2,RELEASED,RELEASED,RELEASED
616,GAME BOY,NINJA GAIDEN SHADOW,RELEASED,RELEASED,RELEASED
617,GAME BOY,NINJA TARO,RELEASED,RELEASED,RELEASED
618,GAME BOY,NINKU,RELEASED,RELEASED,UNRELEASED
619,GAME BOY,NINKU DAI-2-TAMA: NINKU SENSOUHEN,RELEASED,UNRELEASED,UNRELEASED
620,GAME BOY,NINTAMA RANTARO GB,RELEASED,UNRELEASED,UNRELEASED
621,GAME BOY,NINTAMA RANTARO GB - EAWASE CHALLENGE PUZZLE,RELEASED,UNRELEASED,UNRELEASED
622,GAME BOY,NINTENDO WORLD CUP,RELEASED,UNRELEASED,UNRELEASED
623,GAME BOY,NIPPON DAIHYOU TEAM: EIKOU NO ELEVEN,RELEASED,RELEASED,RELEASED
624,GAME BOY,NOBUNAGA'S AMBITION,RELEASED,UNRELEASED,UNRELEASED
625,GAME BOY,NONTAN NO ISSHO: KURU KURU PUZZLE,RELEASED,RELEASED,UNRELEASED
626,GAME BOY,NOOBOW,RELEASED,UNRELEASED,UNRELEASED
627,GAME BOY,ODDWORLD ADVENTURES,RELEASED,UNRELEASED,RELEASED
628,GAME BOY,OLYMPIC SUMMER GAMES: ATLANTA 1996,UNRELEASED,RELEASED,RELEASED
629,GAME BOY,ONI II: INNIN DENSETSU,UNRELEASED,RELEASED,RELEASED
630,GAME BOY,ONI III: KURO NO HAKAISHIN,RELEASED,UNRELEASED,UNRELEASED
631,GAME BOY,ONI IV: KISHIN NO KETSUZOKU,RELEASED,UNRELEASED,UNRELEASED
632,GAME BOY,ONI V: INNIN NO TSUGUMONO,RELEASED,UNRELEASED,UNRELEASED
633,GAME BOY,ONIGASHIMA PACHINKO-TEN,RELEASED,UNRELEASED,UNRELEASED
634,GAME BOY,PROBOTECTOR - OPERATION C,RELEASED,UNRELEASED,UNRELEASED
635,GAME BOY,OTHELLO,RELEASED,RELEASED,RELEASED
636,GAME BOY,OTHELLO WORLD,RELEASED,UNRELEASED,RELEASED
637,GAME BOY,OTOGI BANASHI TAISEN,RELEASED,UNRELEASED,UNRELEASED
638,GAME BOY,OTTOS OTTIFANTEN: BABY BRUNOS'S NIGHTMARE,RELEASED,UNRELEASED,UNRELEASED
639,GAME BOY,OUT OF GAS,UNRELEASED,UNRELEASED,RELEASED
640,GAME BOY,OYATSU QUIZ MOGUMOGU Q,UNRELEASED,RELEASED,UNRELEASED
641,GAME BOY,PAC-ATTACK,RELEASED,UNRELEASED,UNRELEASED
642,GAME BOY,PAC-IN-TIME,RELEASED,RELEASED,RELEASED
643,GAME BOY,PAC-MAN,RELEASED,RELEASED,RELEASED
644,GAME BOY,PACHI-SLOT HISSHOU GUIDE GB,RELEASED,RELEASED,RELEASED
645,GAME BOY,PACHI-SLOT KIDS,RELEASED,UNRELEASED,UNRELEASED
646,GAME BOY,PACHI-SLOT KIDS 2,RELEASED,UNRELEASED,UNRELEASED
647,GAME BOY,PACHI-SLOT KIDS 3,RELEASED,UNRELEASED,UNRELEASED
648,GAME BOY,PACHI-SLOT WORLD CUP '94,RELEASED,UNRELEASED,UNRELEASED
649,GAME BOY,PACHINKO CR DAIKU NO GEN-SAN GB,RELEASED,UNRELEASED,UNRELEASED
650,GAME BOY,PACHINKO DATA CARD: CHOU ATARU-KUN,RELEASED,UNRELEASED,UNRELEASED
651,GAME BOY,PACHINKO KAGUYA HIME,RELEASED,UNRELEASED,UNRELEASED
652,GAME BOY,PACHINKO MONOGATARI GAIDEN,RELEASED,UNRELEASED,UNRELEASED
653,GAME BOY,PACHINKO SEIYUUKI,RELEASED,UNRELEASED,UNRELEASED
654,GAME BOY,PACHINKO TIME,RELEASED,UNRELEASED,UNRELEASED
655,GAME BOY,PACHIOKUN,RELEASED,UNRELEASED,UNRELEASED
656,GAME BOY,PACHIOKUN 2,RELEASED,UNRELEASED,UNRELEASED
657,GAME BOY,PACHIOKUN 3,RELEASED,UNRELEASED,UNRELEASED
658,GAME BOY,PACHIOKUN PUZZLE CASTLE,RELEASED,UNRELEASED,UNRELEASED
659,GAME BOY,THE PAGEMASTER,RELEASED,UNRELEASED,RELEASED
660,GAME BOY,PAINTER MOMOPIE,UNRELEASED,RELEASED,RELEASED
661,GAME BOY,PALAMEDES,RELEASED,UNRELEASED,UNRELEASED
662,GAME BOY,PANEL ACTION BINGO,RELEASED,UNRELEASED,RELEASED
663,GAME BOY,PANEL NO NINJA KESAMARU,UNRELEASED,RELEASED,UNRELEASED
664,GAME BOY,PAPERBOY,RELEASED,UNRELEASED,UNRELEASED
665,GAME BOY,PAPERBOY 2,UNRELEASED,RELEASED,RELEASED
666,GAME BOY,PARASOL HENBE,UNRELEASED,RELEASED,RELEASED
667,GAME BOY,PARASOL STARS: RAINBOW ISLANDS II,RELEASED,UNRELEASED,UNRELEASED
668,GAME BOY,PARODIUS,UNRELEASED,UNRELEASED,RELEASED
669,GAME BOY,PATLABOR: THE MOBILE POLICE,RELEASED,UNRELEASED,RELEASED
670,GAME BOY,PEETAN,RELEASED,UNRELEASED,UNRELEASED
671,GAME BOY,PEKE TO POKO NO DARUMAN BUSTERS,RELEASED,UNRELEASED,UNRELEASED
672,GAME BOY,PENGUIN LAND,RELEASED,UNRELEASED,UNRELEASED
673,GAME BOY,PENGUIN WARS,RELEASED,UNRELEASED,UNRELEASED
674,GAME BOY,PENTA DRAGON,RELEASED,RELEASED,RELEASED
675,GAME BOY,PGA EUROPEAN TOUR,RELEASED,UNRELEASED,UNRELEASED
676,GAME BOY,PGA TOUR 96,UNRELEASED,RELEASED,RELEASED
677,GAME BOY,PICROSS 2,UNRELEASED,RELEASED,RELEASED
678,GAME BOY,PIERRE LE CHEF IS... OUT TO LUNCH,RELEASED,UNRELEASED,UNRELEASED
679,GAME BOY,PINBALL DREAMS,UNRELEASED,UNRELEASED,RELEASED
680,GAME BOY,PINBALL FANTASIES,UNRELEASED,RELEASED,RELEASED
681,GAME BOY,PINBALL MANIA,UNRELEASED,RELEASED,RELEASED
682,GAME BOY,REVENGE OF THE 'GATOR,UNRELEASED,UNRELEASED,RELEASED
683,GAME BOY,PINGU: SEKAI DE ICHIBAN GENKI NA PENGUIN,RELEASED,RELEASED,RELEASED
684,GAME BOY,PINOCCHIO,RELEASED,UNRELEASED,RELEASED
685,GAME BOY,PIPE DREAM,UNRELEASED,RELEASED,RELEASED
686,GAME BOY,PIT-FIGHTER,RELEASED,RELEASED,UNRELEASED
687,GAME BOY,PLAY ACTION FOOTBALL,UNRELEASED,RELEASED,RELEASED
688,GAME BOY,POCAHONTAS,UNRELEASED,RELEASED,RELEASED
689,GAME BOY,POCKET BASS FISHING,UNRELEASED,RELEASED,RELEASED
690,GAME BOY,POCKET BATTLE,RELEASED,UNRELEASED,UNRELEASED
691,GAME BOY,POCKET BOMBERMAN,RELEASED,UNRELEASED,UNRELEASED
692,GAME BOY,POCKET DENSHA,RELEASED,UNRELEASED,RELEASED
693,GAME BOY,POCKET FAMILY GB,RELEASED,UNRELEASED,UNRELEASED
694,GAME BOY,POCKET GOLF,RELEASED,UNRELEASED,UNRELEASED
695,GAME BOY,POCKET KANJIROU,RELEASED,UNRELEASED,UNRELEASED
696,GAME BOY,POCKET KYOROCHAN,RELEASED,UNRELEASED,UNRELEASED
697,GAME BOY,POCKET LOVE,RELEASED,UNRELEASED,UNRELEASED
698,GAME BOY,POCKET LOVE 2,RELEASED,UNRELEASED,UNRELEASED
699,GAME BOY,POCKET MAHJONG,RELEASED,UNRELEASED,UNRELEASED
700,GAME BOY,POCKET MONSTERS AO,RELEASED,UNRELEASED,UNRELEASED
701,GAME BOY,POCKET PUYO PUYO 2,RELEASED,UNRELEASED,UNRELEASED
702,GAME BOY,POCKET SHOGI,RELEASED,UNRELEASED,UNRELEASED
703,GAME BOY,POCKET STADIUM,RELEASED,UNRELEASED,UNRELEASED
704,GAME BOY,POKEMON BLUE VERSION,RELEASED,RELEASED,RELEASED
705,GAME BOY,POKEMON RED VERSION,RELEASED,RELEASED,RELEASED
706,GAME BOY,POKEMON YELLOW VERSION: SPECIAL PIKACHU EDITION,RELEASED,RELEASED,RELEASED
707,GAME BOY,POKONYAN! YUME NO DAIBOUKEN,RELEASED,RELEASED,RELEASED
708,GAME BOY,PONTA TO HINAKO NO CHINDOUCHUU: YUUTOU HEN,RELEASED,UNRELEASED,UNRELEASED
709,GAME BOY,POP'N TWINBEE,RELEASED,UNRELEASED,UNRELEASED
710,GAME BOY,POPEYE,RELEASED,UNRELEASED,RELEASED
711,GAME BOY,POPEYE 2,RELEASED,UNRELEASED,UNRELEASED
712,GAME BOY,POPULOUS,RELEASED,RELEASED,RELEASED
713,GAME BOY,POWER MISSION,RELEASED,UNRELEASED,RELEASED
714,GAME BOY,POWER PRO GB,RELEASED,RELEASED,UNRELEASED
715,GAME BOY,POWER RACER,RELEASED,UNRELEASED,UNRELEASED
716,GAME BOY,PREHISTORIK MAN,RELEASED,RELEASED,RELEASED
717,GAME BOY,PRI PRI: PRIMITIVE PRINCESS!,RELEASED,RELEASED,RELEASED
718,GAME BOY,PRIMAL RAGE,RELEASED,UNRELEASED,UNRELEASED
719,GAME BOY,PRINCE OF PERSIA,UNRELEASED,RELEASED,RELEASED
720,GAME BOY,PRO MAHJONG KIWAME GB,RELEASED,RELEASED,RELEASED
721,GAME BOY,PROPHECY: THE VIKING CHILD,RELEASED,UNRELEASED,UNRELEASED
722,GAME BOY,THE PUNISHER: THE ULTIMATE PAYBACK,UNRELEASED,RELEASED,RELEASED
723,GAME BOY,PURIKURA POCKET 2: KARESHI KAIZOU DAISAKUSEN,UNRELEASED,RELEASED,UNRELEASED
724,GAME BOY,PURIKURA POCKET 3: TALENT DEBUT DAISAKUSEN,RELEASED,UNRELEASED,UNRELEASED
725,GAME BOY,PURIKURA POCKET: FUKANZEN JOSHIKOUSEI MANUAL,RELEASED,UNRELEASED,UNRELEASED
726,GAME BOY,PUYO PUYO,RELEASED,UNRELEASED,UNRELEASED
727,GAME BOY,PUZZLE NINTAMA RANTARO GB,RELEASED,UNRELEASED,UNRELEASED
728,GAME BOY,PUZZNIC,RELEASED,UNRELEASED,UNRELEASED
729,GAME BOY,PYRAMIDS OF RA,RELEASED,UNRELEASED,UNRELEASED
730,GAME BOY,QBILLION,UNRELEASED,RELEASED,UNRELEASED
731,GAME BOY,QBERT FOR GAME BOY,RELEASED,RELEASED,UNRELEASED
732,GAME BOY,QIX,RELEASED,RELEASED,RELEASED
733,GAME BOY,QUARTH,RELEASED,RELEASED,RELEASED
734,GAME BOY,QUIZ NIHON MUKASHI BANASHI: ATHENA NO HATENA,RELEASED,RELEASED,UNRELEASED
735,GAME BOY,QUIZ SEKAI WA SHOW BY SHOUBAI!!,RELEASED,UNRELEASED,UNRELEASED
736,GAME BOY,R-TYPE,RELEASED,UNRELEASED,RELEASED
737,GAME BOY,R-TYPE II,RELEASED,RELEASED,RELEASED
738,GAME BOY,RACE DRIVIN',RELEASED,RELEASED,RELEASED
739,GAME BOY,RACING DAMASHII,UNRELEASED,RELEASED,RELEASED
740,GAME BOY,RADAR MISSION,RELEASED,UNRELEASED,UNRELEASED
741,GAME BOY,RAGING FIGHTER,RELEASED,RELEASED,RELEASED
742,GAME BOY,RAMPART,RELEASED,RELEASED,RELEASED
743,GAME BOY,RANMA ½: KAKUGEKI MONDOU!!,RELEASED,RELEASED,RELEASED
744,GAME BOY,RANMA ½: KAKUREN BODESU MATCH,RELEASED,UNRELEASED,UNRELEASED
745,GAME BOY,RANMA ½: NETSURETSU KAKUTOUHEN,RELEASED,UNRELEASED,UNRELEASED
746,GAME BOY,RAY-THUNDER,RELEASED,UNRELEASED,UNRELEASED
747,GAME BOY,THE REAL GHOSTBUSTERS - GARFIELD LABYRINTH,RELEASED,UNRELEASED,UNRELEASED
748,GAME BOY,REIBUN DE OBOERU: CHUUGAKU EITANGO 1132,RELEASED,RELEASED,RELEASED
749,GAME BOY,REIBUN DE OBOERU: KYUUKYOKU NO KOBUN TANGO,RELEASED,UNRELEASED,UNRELEASED
750,GAME BOY,THE REN & STIMPY SHOW: SPACE CADET ADVENTURES,RELEASED,UNRELEASED,UNRELEASED
751,GAME BOY,THE REN & STIMPY SHOW: VEEDIOTS!,UNRELEASED,RELEASED,UNRELEASED
752,GAME BOY,RENJU CLUB: GOMOKU NARABE,UNRELEASED,RELEASED,RELEASED
753,GAME BOY,RENTAIOU,RELEASED,UNRELEASED,UNRELEASED
754,GAME BOY,RESERVOIR RAT,RELEASED,UNRELEASED,UNRELEASED
755,GAME BOY,RIDDICK BOWE BOXING,UNRELEASED,UNRELEASED,RELEASED
756,GAME BOY,RING RAGE,UNRELEASED,RELEASED,RELEASED
757,GAME BOY,ROAD RASH,RELEASED,RELEASED,UNRELEASED
758,GAME BOY,ROADSTER,UNRELEASED,RELEASED,RELEASED
759,GAME BOY,ROBIN HOOD: PRINCE OF THIEVES,RELEASED,UNRELEASED,UNRELEASED
760,GAME BOY,ROBOCOP,UNRELEASED,RELEASED,RELEASED
761,GAME BOY,ROBOCOP 2,RELEASED,RELEASED,RELEASED
762,GAME BOY,ROBOCOP VERSUS THE TERMINATOR,RELEASED,RELEASED,UNRELEASED
763,GAME BOY,ROCK'N! MONSTER!!,UNRELEASED,RELEASED,RELEASED
764,GAME BOY,ROD LAND,RELEASED,UNRELEASED,RELEASED
765,GAME BOY,ROGER CLEMENS' MVP BASEBALL,RELEASED,UNRELEASED,RELEASED
766,GAME BOY,ROLAN'S CURSE,RELEASED,RELEASED,UNRELEASED
767,GAME BOY,ROLAN'S CURSE 2,RELEASED,RELEASED,UNRELEASED
768,GAME BOY,THE RUGRATS MOVIE,RELEASED,RELEASED,UNRELEASED
769,GAME BOY,SAGAIA,RELEASED,RELEASED,UNRELEASED
770,GAME BOY,SAIGO NO NINDOU: NINJA SPIRIT,RELEASED,UNRELEASED,UNRELEASED
771,GAME BOY,SAINT PARADISE,RELEASED,UNRELEASED,UNRELEASED
772,GAME BOY,SAKIGAKE!! OTOKOJUKU: MEIKOUSHIMA KESSEN,RELEASED,UNRELEASED,UNRELEASED
773,GAME BOY,SAMEGAME,RELEASED,UNRELEASED,UNRELEASED
774,GAME BOY,SAMURAI SHODOWN,RELEASED,UNRELEASED,UNRELEASED
775,GAME BOY,SANGOKUSHI GAME BOY HAN,RELEASED,RELEASED,RELEASED
776,GAME BOY,SANRIO CARNIVAL,RELEASED,UNRELEASED,UNRELEASED
777,GAME BOY,SANRIO CARNIVAL 2,RELEASED,UNRELEASED,UNRELEASED
778,GAME BOY,SANRIO URANAI PARTY,RELEASED,UNRELEASED,UNRELEASED
779,GAME BOY,SATORU NAKAJIMA F-1 HERO GB WORLD CHAMPIONSHIP '91,RELEASED,UNRELEASED,UNRELEASED
780,GAME BOY,SCOTLAND YARD,RELEASED,UNRELEASED,UNRELEASED
781,GAME BOY,SD GUNDAM GAIDEN: LACROAN HEROES,RELEASED,UNRELEASED,UNRELEASED
782,GAME BOY,SD GUNDAM: SD SENGOKUDEN: KUNITORI MONOGATARI,RELEASED,UNRELEASED,UNRELEASED
783,GAME BOY,SD GUNDAM: SENGOKUDEN 2: TENKA TOUITSUHEN,RELEASED,UNRELEASED,UNRELEASED
784,GAME BOY,SD GUNDAM: SD SENGOKUDEN 3: CHIJOU SAIKYOUHEN,RELEASED,UNRELEASED,UNRELEASED
785,GAME BOY,SD HIRYU NO KEN GAIDEN,RELEASED,UNRELEASED,UNRELEASED
786,GAME BOY,SD HIRYU NO KEN GAIDEN 2,RELEASED,UNRELEASED,UNRELEASED
787,GAME BOY,SD LUPIN SANSEI: KINKO YABURI DAISAKUSEN,RELEASED,UNRELEASED,UNRELEASED
788,GAME BOY,SEA BATTLE,RELEASED,UNRELEASED,UNRELEASED
789,GAME BOY,SEAQUEST DSV,UNRELEASED,UNRELEASED,RELEASED
790,GAME BOY,SELECTION I & II: ERABARESHI MONO & ANKOKU NO FUUIN,UNRELEASED,RELEASED,RELEASED
791,GAME BOY,SENSIBLE SOCCER: EUROPEAN CHAMPIONS,RELEASED,UNRELEASED,UNRELEASED
792,GAME BOY,SERPENT,UNRELEASED,UNRELEASED,RELEASED
793,GAME BOY,SHANGHAI,RELEASED,RELEASED,UNRELEASED
794,GAME BOY,SHANGHAI POCKET,RELEASED,RELEASED,UNRELEASED
795,GAME BOY,SHAQ FU,RELEASED,UNRELEASED,UNRELEASED
796,GAME BOY,SHIKAKEI ATAMA O KORE KUSURU,UNRELEASED,RELEASED,UNRELEASED
797,GAME BOY,SHIKAKEI ATAMA O KORE KUSURU: JOUSHIKI NO KA,RELEASED,UNRELEASED,UNRELEASED
798,GAME BOY,SHIKAKEI ATAMA O KORE KUSURU: KANJI NO TATSUJIN,RELEASED,UNRELEASED,UNRELEASED
799,GAME BOY,SHIKAKEI ATAMA O KORE KUSURU: KEISAN NO TATSUJIN,RELEASED,UNRELEASED,UNRELEASED
800,GAME BOY,SHIKAKEI ATAMA O KORE KUSURU: KOKUGO BATTLE-HEN,RELEASED,UNRELEASED,UNRELEASED
801,GAME BOY,SHIKAKEI ATAMA O KORE KUSURU: NANMON NO KA,RELEASED,UNRELEASED,UNRELEASED
802,GAME BOY,SHIKAKEI ATAMA O KORE KUSURU: RIKA BATTLE-HEN,RELEASED,UNRELEASED,UNRELEASED
803,GAME BOY,SHIKAKEI ATAMA O KORE KUSURU: SANSUU BATTLE-HEN,RELEASED,UNRELEASED,UNRELEASED
804,GAME BOY,SHIKAKEI ATAMA O KORE KUSURU: SHAKAI BATTLE-HEN,RELEASED,UNRELEASED,UNRELEASED
805,GAME BOY,SHIKAKEI ATAMA O KORE KUSURU: ZUKEI NO TATSUJIN,RELEASED,UNRELEASED,UNRELEASED
806,GAME BOY,SHIKINJOU,RELEASED,UNRELEASED,UNRELEASED
807,GAME BOY,SHIN KEIBA KIZOKU POCKET JOCKEY,RELEASED,UNRELEASED,UNRELEASED
808,GAME BOY,SHIN NIPPON PRO WRESTLING: TOUKON SANJUSHI,RELEASED,UNRELEASED,UNRELEASED
809,GAME BOY,SHIN SD GUNDAM GAIDEN: KNIGHT GUNDAM MONOGATARI,RELEASED,UNRELEASED,UNRELEASED
810,GAME BOY,THE SHINRI GAME,RELEASED,UNRELEASED,UNRELEASED
811,GAME BOY,THE SHINRI GAME 2: OSAKA-HEN,RELEASED,UNRELEASED,UNRELEASED
812,GAME BOY,SHINSEIKI GPX CYBER FORMULA,RELEASED,UNRELEASED,UNRELEASED
813,GAME BOY,SHIPPU! IRON LEAGUER,RELEASED,UNRELEASED,UNRELEASED
814,GAME BOY,SHISENSHOU: MATCH-MANIA,RELEASED,UNRELEASED,UNRELEASED
815,GAME BOY,SHOGI,RELEASED,UNRELEASED,UNRELEASED
816,GAME BOY,SHOGI SAIKYOU,RELEASED,UNRELEASED,UNRELEASED
817,GAME BOY,SHOUNEN ASHIBE: YUUENCHI PANIC,RELEASED,UNRELEASED,UNRELEASED
818,GAME BOY,SHUYAKU SENTAI IREM FIGHTER,RELEASED,UNRELEASED,UNRELEASED
819,GAME BOY,SIDE POCKET,RELEASED,RELEASED,UNRELEASED
820,GAME BOY,THE SIMPSONS: BART & THE BEANSTALK,RELEASED,RELEASED,RELEASED
821,GAME BOY,THE SIMPSONS: BART VS. THE JUGGERNAUTS,RELEASED,RELEASED,RELEASED
822,GAME BOY,THE SIMPSONS: ITCHY & SCRATCHY IN MINIATURE GOLF MADNESS,UNRELEASED,RELEASED,RELEASED
823,GAME BOY,SKATE OR DIE: BAD 'N RAD,UNRELEASED,RELEASED,RELEASED
824,GAME BOY,SKATE OR DIE: TOUR DE THRASH,UNRELEASED,RELEASED,RELEASED
825,GAME BOY,SLAM DUNK: GAKEPPUCHI NO KESSHOU LEAGUE,UNRELEASED,RELEASED,UNRELEASED
826,GAME BOY,SLAM DUNK 2: ZENKOKU E NO TIP OFF,RELEASED,UNRELEASED,UNRELEASED
827,GAME BOY,SMALL SOLDIERS,RELEASED,UNRELEASED,RELEASED
828,GAME BOY,THE SMURFS,UNRELEASED,RELEASED,RELEASED
829,GAME BOY,THE SMURFS 2: THE SMURFS TRAVEL THE WORLD,UNRELEASED,RELEASED,RELEASED
830,GAME BOY,THE SMURFS 3: THE SMURFS' NIGHTMARE,UNRELEASED,UNRELEASED,RELEASED
831,GAME BOY,SNEAKY SNAKES,UNRELEASED,UNRELEASED,RELEASED
832,GAME BOY,SNOOPY NO HAJIMETE NO OTSUKAI,UNRELEASED,RELEASED,RELEASED
833,GAME BOY,SNOOPY'S MAGIC SHOW,RELEASED,UNRELEASED,UNRELEASED
834,GAME BOY,SNOW BROS. JR.,RELEASED,RELEASED,RELEASED
835,GAME BOY,SOCCER MANIA,RELEASED,RELEASED,RELEASED
836,GAME BOY,SOLAR STRIKER,RELEASED,RELEASED,UNRELEASED
837,GAME BOY,SOLDAM,RELEASED,RELEASED,RELEASED
838,GAME BOY,SOLITAIRE FUNPAK,RELEASED,UNRELEASED,UNRELEASED
839,GAME BOY,SOLOMON'S CLUB,UNRELEASED,RELEASED,RELEASED
840,GAME BOY,SOREYUKE!! KID,RELEASED,RELEASED,RELEASED
841,GAME BOY,SPACE INVADERS (1990),RELEASED,UNRELEASED,UNRELEASED
842,GAME BOY,SPACE INVADERS (1994),RELEASED,UNRELEASED,UNRELEASED
843,GAME BOY,SPANKY'S QUEST,UNRELEASED,RELEASED,RELEASED
844,GAME BOY,SPEEDBALL 2: BRUTAL DELUXE,RELEASED,RELEASED,RELEASED
845,GAME BOY,SPEEDY GONZALES,UNRELEASED,RELEASED,RELEASED
846,GAME BOY,SPIDER-MAN 3: INVASION OF THE SPIDER-SLAYERS,RELEASED,RELEASED,RELEASED
847,GAME BOY,SPIDER-MAN AND THE X-MEN IN ARCADE'S REVENGE,UNRELEASED,RELEASED,RELEASED
848,GAME BOY,SPIROU,UNRELEASED,RELEASED,RELEASED
849,GAME BOY,SPLITZ,UNRELEASED,UNRELEASED,RELEASED
850,GAME BOY,SPORTS ILLUSTRATED FOR KIDS: THE ULTIMATE TRIPLE DARE!,RELEASED,UNRELEASED,RELEASED
851,GAME BOY,SPORTS ILLUSTRATED: CHAMPIONSHIP FOOTBALL & BASEBALL,UNRELEASED,RELEASED,UNRELEASED
852,GAME BOY,SPORTS ILLUSTRATED: GOLF CLASSIC,UNRELEASED,RELEASED,UNRELEASED
853,GAME BOY,SPOT: THE COOL ADVENTURE,UNRELEASED,RELEASED,RELEASED
854,GAME BOY,SPOT: THE VIDEO GAME,RELEASED,RELEASED,RELEASED
855,GAME BOY,SPUD'S ADVENTURE,RELEASED,RELEASED,RELEASED
856,GAME BOY,SPY VS. SPY: OPERATION BOOBYTRAP,RELEASED,RELEASED,UNRELEASED
857,GAME BOY,SQUARE DEAL: THE GAME OF TWO DIMENSIONAL POKER,RELEASED,RELEASED,RELEASED
858,GAME BOY,STAR SWEEP,RELEASED,RELEASED,UNRELEASED
859,GAME BOY,STAR TREK GENERATIONS - BEYOND THE NEXUS,RELEASED,UNRELEASED,RELEASED
860,GAME BOY,STAR TREK: 25TH ANNIVERSARY,UNRELEASED,RELEASED,RELEASED
861,GAME BOY,STAR TREK: THE NEXT GENERATION,UNRELEASED,RELEASED,RELEASED
862,GAME BOY,STAR WARS,UNRELEASED,RELEASED,RELEASED
863,GAME BOY,STAR WARS: THE EMPIRE STRIKES BACK,UNRELEASED,RELEASED,RELEASED
864,GAME BOY,STARGATE,UNRELEASED,RELEASED,RELEASED
865,GAME BOY,STARHAWK,UNRELEASED,RELEASED,RELEASED
866,GAME BOY,STOP THAT ROACH!,UNRELEASED,UNRELEASED,RELEASED
867,GAME BOY,STREET FIGHTER II,RELEASED,RELEASED,RELEASED
868,GAME BOY,STREET RACER,RELEASED,RELEASED,RELEASED
869,GAME BOY,SUMO FIGHTER,RELEASED,RELEASED,RELEASED
870,GAME BOY,SUNSOFT GRAND PRIX,RELEASED,RELEASED,UNRELEASED
871,GAME BOY,SUPER B-DAMAN: FIGHTING PHOENIX,RELEASED,UNRELEASED,RELEASED
872,GAME BOY,SUPER BATTLETANK: WAR IN THE GULF,RELEASED,UNRELEASED,UNRELEASED
873,GAME BOY,SUPER BIKKURIMAN: DENSETSU NO SEKIBAN,UNRELEASED,RELEASED,RELEASED
874,GAME BOY,SUPER BLACK BASS,RELEASED,UNRELEASED,UNRELEASED
875,GAME BOY,SUPER BLACK BASS POCKET 2,RELEASED,RELEASED,UNRELEASED
